                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 0.2962,                0.17254,                0.83293,                0.94954,                 0.9319,                0.97514,                0.80626,                0.73936,                0.35207,                 1.0076,             6.6095e-05,             6.6095e-05,             6.6095e-05
                     87,                0.29234,                0.17178,                0.83469,                0.96216,                0.93673,                0.97847,                0.81028,                0.74028,                0.34084,                 1.0215,             6.1966e-05,             6.1966e-05,             6.1966e-05
                     88,                0.29246,                0.17124,                0.83522,                0.95287,                0.93557,                0.97623,                0.80938,                0.73932,                0.34401,                 1.0233,             5.7838e-05,             5.7838e-05,             5.7838e-05
                     89,                0.29014,                   0.17,                0.83433,                0.95816,                0.93008,                0.97645,                0.80864,                0.74079,                0.35186,                 1.0291,              5.371e-05,              5.371e-05,              5.371e-05
                     90,                0.28638,                0.16719,                0.83298,                0.94918,                0.94762,                0.97802,                0.81075,                0.73882,                0.33426,                 1.0268,             4.9581e-05,             4.9581e-05,             4.9581e-05
                     91,                0.63919,                0.27944,                 0.9587,                0.94723,                0.94537,                0.97672,                0.81104,                0.73428,                0.33133,                  1.007,             4.5453e-05,             4.5453e-05,             4.5453e-05
                     92,                0.62338,                0.26237,                 0.9397,                0.96733,                0.92467,                0.97402,                0.81018,                0.73299,                0.33815,                0.99935,             4.1325e-05,             4.1325e-05,             4.1325e-05
                     93,                0.62202,                0.26311,                0.94453,                0.95814,                0.93918,                0.97692,                0.81533,                0.73193,                0.32453,                0.99776,             3.7196e-05,             3.7196e-05,             3.7196e-05
                     94,                0.61274,                0.25432,                0.93687,                0.95118,                0.94633,                0.97734,                0.81445,                0.73076,                0.32785,                0.99552,             3.3068e-05,             3.3068e-05,             3.3068e-05
                     95,                0.60443,                0.24887,                0.93024,                0.95846,                0.94797,                0.97793,                0.81744,                0.72756,                0.32297,                0.99143,              2.894e-05,              2.894e-05,              2.894e-05
                     96,                0.60006,                0.25136,                0.92989,                0.96976,                0.94564,                0.98202,                0.82041,                0.72923,                0.31089,                0.99438,             2.4812e-05,             2.4812e-05,             2.4812e-05
                     97,                0.59897,                0.24605,                0.92755,                 0.9604,                0.95165,                0.98089,                0.82008,                0.72715,                0.31549,                0.99644,             2.0683e-05,             2.0683e-05,             2.0683e-05
                     98,                0.59594,                0.24615,                 0.9337,                0.96172,                0.94728,                0.98099,                 0.8203,                0.72718,                0.31691,                0.99988,             1.6555e-05,             1.6555e-05,             1.6555e-05
                     99,                0.59219,                0.24664,                0.92948,                0.95545,                0.95335,                0.98076,                0.82045,                0.72555,                0.31952,                 0.9988,             1.2427e-05,             1.2427e-05,             1.2427e-05
                    100,                0.59045,                0.24336,                0.92839,                 0.9629,                0.94616,                0.98084,                0.82166,                0.72714,                0.31398,                0.99937,             8.2983e-06,             8.2983e-06,             8.2983e-06
